healthAuthority_ID,partition,c_count,component_size,component_edges,budget,heuristic_K,gurobi_K,pre_optimization_short_pairs,pre_gurobi_short_pairs,post_gurobi_short_pairs,c_pairwise_connectivity,c_new_pairwise_connectivity,heuristic_approach,heuristic_time,gurobi_time,total_time,m_status,m_obj,m_MIPGap,m_sol_count,m_runtime
0,0,0,22901,123458,4580,0,4580,123458,123458,35335,1.0,0.879279111306876,HDA,0,3613.263873577118,3613.263873577118,9,38455.13500000027,0.0185203383478068,10,3600.2743690013885
0,1,0,22858,124075,4571,0,4571,124075,124075,42728,1.0,0.9487264387266356,HDA,0,3611.796237230301,3611.796237230301,9,45570.37249999979,0.1550829250562312,4,3600.0677959918976
0,2,0,22722,114533,4544,0,4544,114533,114533,40388,1.0,0.9531452108326144,HDA,0,3611.064915657044,3611.064915657044,9,42949.73999999945,0.134555094750006,5,3600.050807952881
0,3,0,24291,130280,4858,0,4858,130280,130280,53163,1.0,0.9808466537240612,HDA,0,3612.3718581199646,3612.3718581199646,9,56030.32750000191,0.1206791847273424,4,3600.0731930732727
0,4,0,24279,176496,4855,0,4855,176496,176496,40714,1.0,0.885502985387066,HDA,0,3619.177452325821,3619.177452325821,9,45592.84000000129,0.0202240088572994,10,3600.812752008438
0,5,0,22714,121498,4542,0,4542,121498,121498,43776,1.0,0.948085151827565,HDA,0,3611.783661365509,3611.783661365509,9,46416.79249999888,0.1627132111591322,4,3600.048943996429
0,6,0,24286,73031,4857,0,4857,73031,73031,27245,1.0,0.9214186127805126,HDA,0,2413.253790140152,2413.253790140152,2,28861.79499935251,9.97095320801672e-05,10,2406.422543048858
0,7,0,24294,107123,4858,0,4858,107123,107123,35074,1.0,0.9711952279388084,HDA,0,3611.0697107315054,3611.0697107315054,9,37161.81749999456,0.0499652667171768,10,3600.4659130573277
0,8,0,24293,100820,4858,0,4858,100820,100820,33386,1.0,0.9649140286787028,HDA,0,3611.711947917938,3611.711947917938,9,35365.1424999952,0.0385021776735611,10,3600.1770889759064
0,9,0,24280,141089,4856,0,4856,141089,141089,58686,1.0,0.9931132138726138,HDA,0,3613.3261580467215,3613.3261580467215,9,61765.520000002245,0.1340980211989249,4,3600.130877017975
0,10,0,23147,122876,4629,0,4629,122876,122876,49360,1.0,0.9883698001847232,HDA,0,3613.22234916687,3613.22234916687,9,51624.90749999609,0.1496370095341997,4,3600.069638967514
0,11,0,22942,99399,4588,0,4588,99399,99399,31254,1.0,0.961690309793445,HDA,0,3608.7552416324615,3608.7552416324615,9,33260.75999999691,0.0428432783853323,7,3600.0544250011444
0,12,0,23114,181747,4622,0,4622,181747,181747,37848,1.0,0.9757065345631836,HDA,0,3617.565031766892,3617.565031766892,9,41448.71999998214,0.1007684314491721,7,3600.071255922317
1,0,0,21909,125861,4381,0,4381,125861,125861,48904,1.0,0.9785646879768756,HDA,0,3612.0736362934113,3612.0736362934113,9,51649.28000000049,0.1181719636448843,5,3600.1625339984894
1,1,0,23206,122509,4641,0,4641,122509,122509,48052,1.0,0.9797424888868308,HDA,0,3613.143998384476,3613.143998384476,9,50800.19750000161,0.1081269222970283,5,3600.068509101868
1,2,0,23032,111647,4606,0,4606,111647,111647,39512,1.0,0.9671680082757228,HDA,0,3611.4034128189087,3611.4034128189087,9,41939.18249999867,0.0250051006002871,9,3600.358771800995
1,2,3,159,620,31,0,31,620,620,285,1.0,0.984375,HDA,0,0.1738533973693847,0.1738533973693847,2,300.2299999999991,0.0,10,0.129518985748291
1,3,0,21906,128608,4381,0,4381,128608,128608,48632,1.0,0.9792243057086414,HDA,0,3612.2628688812256,3612.2628688812256,9,51479.11500000044,0.1071080546773987,5,3600.1100528240204
2,0,0,18981,101143,3796,0,3796,101143,101143,31160,1.0,0.9149908331144546,HDA,0,3610.326503753662,3610.326503753662,9,33719.41000000121,0.0184805279805179,10,3600.2368931770325
2,1,0,18337,99561,3667,0,3667,99561,99561,38606,1.0,0.9784403791867468,HDA,0,3610.216627597809,3610.216627597809,9,40736.04999999985,0.0982583700974755,4,3600.058820009232
2,2,0,19411,86629,3882,0,3882,86629,86629,34749,1.0,0.9869063926497528,HDA,0,3609.167549848557,3609.167549848557,9,36457.31499999859,0.0370151415601308,10,3600.1590259075165
2,3,0,18564,114801,3712,0,3712,114801,114801,36896,1.0,0.9845735436496652,HDA,0,3611.125262498856,3611.125262498856,9,39292.14999999581,0.1132039615298152,5,3600.0546021461487
3,0,0,35240,217053,7048,0,7048,217053,217053,89881,1.0,0.9965976348663612,HDA,0,3621.966061115265,3621.966061115265,9,94444.43249995422,0.1044958830119045,5,3600.1078050136566
